open,high,low,close,volume
4151.0,4161.0,4137.5,4152.75,1026014.0
4150.5,4153.0,4131.0,4134.0,1000924.0
4133.0,4173.25,4112.25,4152.0,1887587.0
4152.75,4168.5,4121.5,4143.75,1473383.0
4144.5,4164.5,4111.75,4138.0,1434601.0
4132.25,4156.25,4123.0,4150.0,1179165.0
4148.25,4151.5,4120.0,4123.0,1316691.0
4126.0,4179.0,4122.0,4171.5,1584910.0
4171.25,4215.75,4161.25,4212.0,1760668.0
4215.5,4227.25,4191.5,4204.75,1713351.0
4189.0,4221.75,4186.5,4205.0,1302845.0
4207.5,4222.75,4153.0,4158.75,1685056.0
4158.0,4166.25,4114.0,4126.0,1911903.0
4157.0,4175.5,4131.5,4159.75,1966626.0
4157.0,4221.25,4146.0,4213.25,1744425.0
4239.75,4243.25,4200.0,4215.0,1957579.0
4213.0,4217.75,4174.0,4190.5,2138566.0
4188.5,4239.75,4178.0,4228.0,1868363.0
4231.75,4297.75,4229.0,4288.0,1955603.0
4288.0,4305.75,4273.0,4281.0,1668759.0
4279.75,4294.75,4268.5,4289.75,1548125.0
4292.25,4304.75,4269.25,4274.25,1925195.0
4273.25,4302.5,4262.75,4298.25,1664333.0
4297.75,4325.5,4284.0,4304.75,2176645.0
4306.5,4346.5,4305.25,4342.75,1665175.0
4345.0,4377.75,4335.75,4371.75,1317118.0
4372.0,4394.75,4339.75,4374.25,758316.0
4378.75,4441.0,4350.0,4426.5,486414.0
4424.75,4453.35009765625,4415.25,4453.35009765625,1895105.0
4458.0,4462.0,4410.5,4434.75,1540416.0
4430.25,4438.5,4403.5,4409.25,1468258.0
4410.0,4427.0,4393.0,4423.75,1384002.0
4425.75,4426.25,4381.5,4389.0,1550992.0
4390.0,4403.0,4368.5,4370.25,1622416.0
4375.75,4424.75,4371.5,4418.75,1512256.0
4414.0,4430.25,4399.25,4417.5,1689461.0
4423.75,4438.0,4409.75,4435.75,1628750.0
4435.25,4498.0,4433.0,4488.25,1774940.0
4485.5,4494.0,4479.5,4492.25,641289.0
4492.0,4493.75,4466.25,4483.75,1193759.0
4481.75,4483.5,4419.5,4447.0,1741520.0
4441.25,4476.0,4431.5,4434.0,1691644.0
4437.5,4448.25,4411.25,4444.25,1361155.0
4445.75,4478.5,4439.0,4473.5,1340232.0
4471.0,4523.75,4470.0,4507.5,1784296.0
4510.5,4551.5,4509.25,4543.5,1158193.0
4539.5,4560.5,4531.0,4536.75,1381069.0
4536.0,4565.75,4528.0,4553.75,1057965.0
4550.25,4594.5,4544.75,4587.75,1301460.0
4582.75,4609.25,4582.25,4597.0,1538747.0
4593.25,4594.25,4557.25,4565.5,1527727.0
4566.25,4590.0,4561.75,4564.75,1432643.0
4564.25,4592.5,4560.0,4583.5,1203661.0
4584.5,4608.75,4579.25,4596.0,1219737.0
4604.75,4610.75,4573.75,4595.25,1372426.0
4594.75,4634.5,4553.75,4564.25,1924565.0
4566.0,4616.5,4558.0,4606.5,1573973.0
4608.75,4619.25,4595.25,4614.5,1299434.0
4617.75,4621.75,4591.0,4601.25,1212261.0
4580.0,4593.5,4527.75,4537.25,1917865.0
4534.25,4547.5,4505.75,4521.75,1764076.0
4523.5,4560.75,4493.75,4498.0,2044936.0
4500.5,4541.75,4500.5,4537.75,1397301.0
4539.5,4541.0,4482.0,4518.5,1696546.0
4516.5,4536.25,4478.25,4485.75,1640285.0
4493.25,4544.75,4473.5,4485.75,2227022.0
4487.75,4496.25,4459.0,4480.75,1511048.0
4485.0,4507.75,4465.0,4506.0,1277132.0
4505.75,4517.75,4447.0,4454.0,1492516.0
4453.25,4467.25,4417.0,4420.0,1499218.0
4420.5,4436.75,4377.75,4384.5,1630481.0
4379.25,4396.0,4350.0,4382.75,1746289.0
4382.5,4421.0,4372.25,4412.5,1361470.0
4410.25,4440.0,4394.25,4399.25,1375651.0
4400.0,4476.25,4399.5,4447.0,1306640.0
4470.5,4485.5,4378.5,4386.0,1783795.0
4384.5,4429.0,4365.25,4414.25,1853335.0
4418.0,4449.5,4414.5,4442.25,1266414.0
4444.0,4509.5,4433.5,4506.75,1444714.0
4508.75,4530.75,4496.25,4524.25,1397669.0
4527.0,4541.25,4512.75,4516.0,1395751.0
4516.75,4547.75,4507.25,4521.5,1416762.0
4521.25,4531.25,4499.25,4502.5,1391805.0
4500.0,4503.75,4447.0,4471.5,1600128.0
4469.5,4471.75,4434.25,4456.25,1602226.0
4458.25,4477.5,4443.0,4461.75,1686158.0
4463.5,4493.5,4459.25,4490.25,1714266.0
4487.75,4491.0,4458.75,4465.0,1153961.0
4464.5,4481.0,4446.75,4468.75,690872.0
4471.75,4513.0,4470.25,4506.0,454906.0
4508.0,4517.75,4480.0,4491.72021484375,1825966.0
4499.5,4514.5,4487.0,4501.5,1155158.0
4503.25,4509.5,4462.25,4490.0,1422950.0
4491.25,4508.0,4443.25,4447.0,1482206.0
4445.0,4447.0,4366.5,4372.0,1998638.0
4370.25,4399.0,4357.25,4361.0,1736576.0
4365.0,4383.5,4338.25,4378.75,1561595.0
4382.0,4382.0,4305.5,4314.75,1758048.0
4320.25,4336.5,4277.0,4313.5,1965913.0
4323.25,4355.75,4301.0,4337.5,2012088.0
4342.0,4371.25,4311.0,4325.5,2106053.0
4349.0,4355.5,4295.5,4324.25,1950463.0
4326.0,4335.75,4251.25,4264.75,2256808.0
4262.75,4304.0,4235.5,4297.75,2168271.0
4291.5,4302.0,4258.0,4290.75,1673477.0
4287.5,4358.5,4242.25,4341.5,2216456.0
4315.0,4375.75,4299.5,4368.75,1485254.0
4368.75,4419.0,4366.25,4391.5,1610271.0
4392.0,4419.75,4377.25,4409.75,1489644.0
4417.75,4430.5,4355.5,4380.5,1881573.0
4380.75,4407.75,4340.75,4357.25,2159101.0
4356.75,4414.25,4354.5,4401.0,1668948.0
4406.25,4423.25,4365.75,4401.75,1879736.0
4398.0,4399.25,4330.75,4342.25,2271572.0
4346.5,4366.5,4292.75,4303.0,2741942.0
4295.0,4304.25,4243.5,4248.5,2328806.0
4256.25,4280.75,4213.25,4241.75,1963670.0
4250.25,4290.5,4242.0,4271.25,1807092.0
4269.5,4273.5,4203.75,4209.75,1981633.0
4202.0,4205.0,4146.25,4156.5,2419407.0
